0 1 2
0 3 4
2 3 0
4 5 6
3 5 4
5 7 6
2 8 9
1 8 2
3 2 10
2 9 10
5 3 11
3 10 11
11 7 5
12 7 11
9 8 13
9 14 10
13 14 9
10 15 11
14 15 10
11 15 12
16 1 0
17 1 16
4 18 0
18 16 0
6 19 4
19 18 4
20 6 7
19 6 20
1 17 8
8 17 21
7 12 20
12 22 20
13 23 24
13 8 23
8 21 23
24 25 26
24 26 13
13 26 14
15 14 27
27 14 26
12 27 22
15 27 12
24 23 28
24 28 25
16 29 17
18 29 16
30 29 18
19 30 18
31 30 19
20 31 19
17 32 21
29 32 17
30 33 29
29 33 32
31 34 30
30 34 33
22 31 20
34 31 22
21 35 23
32 35 21
25 33 26
25 35 33
35 32 33
34 26 33
27 26 34
22 27 34
23 35 28
25 28 35
